5934	RBL2	16	53434420	53491648	+
339883	C3orf35	3	37379111	37435497	+
64778	FNDC3B	3	172039628	172400703	+
7419	VDAC3	8	42391624	42405937	+
87	ACTN1	14	68874123	68979366	-
487	ATP2A1	16	28878488	28904509	+
6422	SFRP1	8	41261957	41309471	-
79605	PGBD5	1	230321646	230425928	-
81614	NIPA2	15	22838641	22868384	+
11253	MAN1B1	9	137086862	137109187	+
79042	TSEN34	19	54189517	54194536	+
7555	CNBP	3	129167815	129183967	-
57696	DDX55	12	123602077	123620943	+
114818	KLHL29	2	23385419	23708613	+
145773	FAM81A	15	59399662	59523555	+
3784	KCNQ1	11	2444991	2849110	+
261734	NPHP4	1	5862808	5992473	-
245972	ATP6V0D2	8	86098910	86154225	+
64432	MRPS25	3	15042251	15065337	-
341883	LRRC9	14	59919713	60063559	+
84944	MAEL	1	166921121	167022214	+
5629	PROX1	1	213983239	214041510	+
64834	ELOVL1	1	43363397	43368074	-
11124	FAF1	1	50441263	50960264	-
57178	ZMIZ1	10	79068994	79316528	+
2494	NR5A2	1	200027602	200177424	+
9475	ROCK2	2	11179759	11345407	-
8558	CDK10	16	89686612	89696364	+
100506421	LINC01158	2	104805425	104853183	-
130827	TMEM182	2	102736906	102843838	+
2120	ETV6	12	11649601	11895402	+
10294	DNAJA2	16	46955362	46973714	-
220202	ATOH7	10	68230595	68232113	-
8792	TNFRSF11A	18	62325287	62388096	+
102464833	MIR6084	1	20633679	20633788	+
57622	LRFN1	19	39306817	39320867	-
10069	RWDD2B	21	29005759	29019371	-
6182	MRPL12	17	81703370	81707526	+
1293	COL6A3	2	237324012	237434822	-
55790	CSGALNACT1	8	19404161	19757940	-
286122	C8orf31	8	143038983	143054303	+
25914	RTTN	18	70003804	70205726	-
10421	CD2BP2	16	30350766	30355361	-
7871	SLMAP	3	57756221	57930013	+
4856	NOV	8	119416312	119424438	+
3579	CXCR2	2	218125290	218137253	+
10608	MXD4	4	2247432	2262143	-
693178	MIR593	7	128081861	128081960	+
389125	MUSTN1	3	52833115	52835219	-
